Twitter String,,city,state
Angola,699,,
"Richmond, Va",164,Richmond,Virginia
Pembrokeshire,102,,
"Dallas, Tx",606,Dallas,Texas
"Irvine, Scotland",214,,
Edinburgh,273,,
Orlando,135,Orlando,Florida
"Windsor, South East",124,,
"Warsaw, Poland",1047,,
Ann Arbor,285,Ann Arbor,Michigan
Chicago area,146,Chicago,Illinois
"Williamsburg, Brooklyn",245,Brooklyn,New York
San Diego,328,San Diego,California
Springfield,220,,
"Greater Vancouver, British Col",129,,
Jupiter,953,,
Cleveland,1053,Cleveland,Ohio
"San Antonio, Tx",286,San Antonio,Texas
"Bristol, United Kingdom",129,,
Des Moines,175,Des Moines,Iowa
Tallahassee,181,Tallahassee,Florida
Vienna,536,,
Miami Beach,168,Miami,Florida
"Alief, Houston",192,Houston,Texas
"Cairo, Egypt",3228,,
Babylon,196,,
St. Paul,136,St. Paul,Minnesota
Lexington,146,Lexington,Kentucky
"Bedford Stuyvesant, Brooklyn",196,Brooklyn,New York
Salisbury,107,,
Waterloo,149,,
"Upper West Side, Manhattan",161,Manhattan,New York
"Denver, Co",151,Denver,Colorado
"East Village, Manhattan",167,Manhattan,New York
Brighton,144,,
"Lower East Side, Manhattan",140,Manhattan,New York
"Houston,Tx",251,Houston,Texas
"Saint John, New Brunswick",284,,
Kent,145,,
"Rome, Italy",438,,
Madison,183,Madison,Wisconsin
"Lexington, Ky",164,Lexington,Kentucky
"Chelmsford, Essex",123,,
San Antonio,901,San Antonio,Texas
Compton,105,Los Angeles,California
"Bedfordview, South Africa",124,,
"London, United Kingdom",112,,
"Kamloops, British Columbia",297,,
"Tucson, Az",108,Tucson,Arizona
"Oak Cliff, Dallas",241,Dallas,Texas
"Stratford, London",183,,
Saint Louis,316,St. Louis,Missouri
Cambridgeshire,333,,
"Miami, Fl",542,Miami,Florida
Pittsburgh,236,Pittsburgh,Pennsylvania
Phoenix,935,Phoenix,Arizona
"East Harlem, Manhattan",273,Manhattan,New York
Miami,426,Miami,Florida
"Greater Vancouver, British Columbia",129,,
Dallas,221,Dallas,Texas
"San Pedro, Los Angeles",289,Los Angeles,California
"Chicago, USA",245,Chicago,Illinois
Berkeley,175,Berkeley,California
Andromeda Galaxy,101,,
Santa Barbara,153,Santa Barbara,California
"Koreatown, Los Angeles",184,Los Angeles,California
St. Louis,129,St. Louis,Missouri
Seattle,358,Seattle,Washington
"Sherman Oaks, Los Angeles",185,Los Angeles,California
Detroit,262,Detroit,Michigan
"Amman, Hashemite Kingdom of Jo",145,,
Essex UK,101,,
Charleston,110,Charleston,South Carolina
Santa Monica,262,Santa Monica,California
Houston,545,Houston,Texas
Milky Way Galaxy,382,,
Hemel Hempstead,111,,
Fort Lauderdale,210,,
Newcastle,227,,
"Abbotsford, British Columbia",251,,
"Atlanta,Ga",188,Atlanta,Georgia
"Boston, Ma",288,Boston,Massachusetts
"Hamilton City, New Zealand",137,,
Kingston,222,,
Atlanta Ga,203,Atlanta,Georgia
"Hyde Park, Chicago",101,Chicago,Illinois
Boston,397,Boston,Massachusetts
"Rochester, South East",154,,
"Oakland, Ca",140,Oakland,California
"Miami,Fl",112,Miami,Florida
"Studio City, Los Angeles",167,Los Angeles,California
Dallas Tx,206,Dallas,Texas
Vancouver Island,197,,
Sacramento,107,Sacramento,California
Philadelphia,462,Philadelphia,Pennsylvania
Raleigh,312,Raleigh,North Carolina
"Chilliwack, British Columbia",189,,
"Kelowna, British Columbia",519,,
Jupiter,234,,
Minneapolis,182,Minneapolis,Minnesota
Rocky Mountains,101,,
Columbus,393,,
Boulder,109,Boulder,Colorado
Metro Detroit,269,Detroit,Michigan
"Atlanta, Ga.",156,Atlanta,Georgia
"Granada Hills, Los Angeles",116,Los Angeles,California
"Van Nuys, Los Angeles",218,Los Angeles,California
Rochester,227,Rochester,New York
"Louisville, Louisville",129,Louisville,Kentucky
Knoxville,184,Knoxville,Tennessee
The Kingdom,120,,
Orange County,601,Orange County,Florida
"Delta, British Columbia",123,,
"North Hollywood, Los Angeles",636,Los Angeles,California
Santa Cruz,129,Santa Cruz,Florida
"Venice, Los Angeles",189,Los Angeles,California
Palo Alto,115,Palo Alto,California
Warsaw,151,,
"Verona, Veneto",167,,
Buffalo,405,Buffalo,New York
"Saint Petersburg, Russia",453,,
"San Diego, Ca",206,San Diego,California
El Paso,151,,
Adana,659,,
Memphis,687,Memphis,Tennessee
"Newcastle, Australia",160,,
Wichita,112,Wichita,Kansas
Fresno,155,Fresno,California
"Moncton, New Brunswick",206,,
"Bathgate, Scotland",136,,
"Venice Beach, Los Angeles",124,Los Angeles,California
"St. Louis, USA",116,St. Louis,Missouri
"Orlando, Fl",291,Orlando,Florida
"Pittsburgh, Pa",232,Pittsburgh,Pennsylvania
Wellington,243,,
"Los Angeles, USA",128,Los Angeles,California
Lima - Perú,375,,
Greater Boston,114,Boston,Massachusetts
Tacoma,168,Tacoma,Washington
Cincinnati,146,Cincinnati,Ohio
Reno,142,Reno,Nevada
"Echo Park, Los Angeles",109,Los Angeles,California
"Portland, Or",110,Portland,Oregon
New Westminster,124,,
Nashville,154,Nashville,Tennessee
"Maple Ridge, British Columbia",105,,
Lima,813,,
"Boyle Heights, Los Angeles",227,Los Angeles,California
"Naples, Campania",288,,
"Rio Grande do Sul, Brasil",942,,
Denver,127,Denver,Colorado
"Highland Park, Los Angeles",178,Los Angeles,California
"Northridge, Los Angeles",301,Los Angeles,California
"Amman, Hashemite Kingdom of Jordan",119,,
"42 Wallaby Way, Sydney",104,,
Little Rock,158,Little Rock,Arkansas
"Seattle, Wa",318,Seattle,Washington
"Lima, Perú",1144,,
West Hollywood,140,Hollywood,California
"Wellington, NZ",149,,
Hashemite Kingdom of Jordan,356,,
"Ridgewood, Queens",118,,
Mystic Falls,336,,
"Santa Cruz de Tenerife, España",255,,
Fort Worth,254,Fort Worth,Texas
"Cordova, Spain",148,,
"San Francisco, Ca",115,San Francisco,California
"Phoenix, Az",135,Phoenix,Arizona
North Vancouver,239,,
Cairo,361,,
"Wilmington, Los Angeles",157,Los Angeles,California
Martinique,720,,
San Antonio,154,San Antonio,Texas
Lima-Perú,127,,
Riverside,113,,
Tulsa,239,Tulsa,Oklahoma
Toledo,163,Toledo,Ohio
"Dallas,Tx",175,Dallas,Texas
Boise,146,Boise,Idaho
Huntington Beach,101,Huntington Beach,California
Spokane,115,Spokane,Washington
"Sonora, México",902,,
Houston Tx,303,Houston,Texas
"Westwood, Los Angeles",164,Los Angeles,California
"New Orleans, La",144,New Orleans,Louisiana
Oahu,135,Oahu,Hawaii
"Durango, México",408,,
Macondo,142,,
Beverly Hills,114,Beverly Hills,California
"Hanover, Germany",149,,
Orange County,101,Orange County,California
"Logan Square, Chicago",126,Chicago,Illinois
"Hermosillo, Sonora",1297,,
"Sylmar, Los Angeles",254,Los Angeles,California
"Adana, Türkiye",232,,
"Luanda, Angola",118,,
"Silver Lake, Los Angeles",112,Los Angeles,California
Austin Tx,111,Austin,Texas
"Grahamstown, South Africa",128,,
"Nogales, Sonora",146,,
"Novi Sad, Republic of Serbia",114,,
Providence,133,Providence,Rhode Island
"Petaling, Selangor",185,,
Montevideo,194,,
"Santa Fe, Argentina",403,,
Grand Rapids,195,Grand Rapids,Michigan
"Santa Maria da Feira, Portugal",184,,
"Milano, Italy",102,,
Alexandria,189,,
"Reseda, Los Angeles",115,Los Angeles,California
Lima - Peru,110,,
"Waterloo, ON",131,,
Saint Petersburg,294,,
"Canoga Park, Los Angeles",115,Los Angeles,California
Odessa,282,,
"Cairo,Egypt",101,,
"Budapest, Magyarország",146,,
"Rio Grande, Brasil",162,,
Rio Grande do Sul,135,,
"Ponte de Lima, Portugal",104,,
Bay Area,,San Francisco,California
NYC,,New York,New York
bay area,,San Francisco,California
nyc,,New York,New York
Philly,,Philadelphia,Pennsylvania
philly,,Philadelphia,Pennsylvania
SoCal,,,California
Jersey,,,New Jersey
